[2026-05-09 07:45:09]   [1] batch 3599/19277 loss=5.1796 ppl=177.6 div=1.71e-02 wdiv=8.56e-04 lr=9.99e-05 | inst 12229 tok/s avg 11869 tok/s |  18.7% eta 2:11:16 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:45:35]   [1] batch 3649/19277 loss=5.4535 ppl=233.6 div=1.63e-02 wdiv=8.13e-04 lr=9.99e-05 | inst 12099 tok/s avg 11873 tok/s |  18.9% eta 2:12:15 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:46:00]   [1] batch 3699/19277 loss=5.1084 ppl=165.4 div=1.72e-02 wdiv=8.59e-04 lr=9.99e-05 | inst 12215 tok/s avg 11877 tok/s |  19.2% eta 2:10:34 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:46:25]   [1] batch 3749/19277 loss=5.3827 ppl=217.6 div=1.81e-02 wdiv=9.04e-04 lr=9.99e-05 | inst 12343 tok/s avg 11883 tok/s |  19.5% eta 2:08:49 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:46:50]   [1] batch 3799/19277 loss=5.3467 ppl=209.9 div=1.78e-02 wdiv=8.88e-04 lr=9.99e-05 | inst 12095 tok/s avg 11886 tok/s |  19.7% eta 2:11:02 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:47:15]   [1] batch 3849/19277 loss=5.6861 ppl=294.7 div=1.75e-02 wdiv=8.73e-04 lr=9.99e-05 | inst 12229 tok/s avg 11890 tok/s |  20.0% eta 2:09:10 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:47:29]   [1] batch 3899/19277 loss=5.0766 ppl=160.2 div=1.77e-02 wdiv=8.85e-04 lr=9.99e-05 | inst 22670 tok/s avg 11963 tok/s |  20.2% eta 1:09:27 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:47:41]   [1] batch 3949/19277 loss=5.2141 ppl=183.9 div=1.80e-02 wdiv=9.01e-04 lr=9.99e-05 | inst 25817 tok/s avg 12045 tok/s |  20.5% eta 1:00:47 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:47:53]   [1] batch 3999/19277 loss=5.5660 ppl=261.4 div=1.77e-02 wdiv=8.83e-04 lr=9.99e-05 | inst 26481 tok/s avg 12127 tok/s |  20.8% eta 59:04 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:48:04]   [1] batch 4049/19277 loss=5.4687 ppl=237.1 div=1.75e-02 wdiv=8.77e-04 lr=9.99e-05 | inst 26479 tok/s avg 12209 tok/s |  21.0% eta 58:53 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:48:16]   [1] batch 4099/19277 loss=5.5850 ppl=266.4 div=1.74e-02 wdiv=8.72e-04 lr=9.99e-05 | inst 25824 tok/s avg 12288 tok/s |  21.3% eta 1:00:10 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:48:28]   [1] batch 4149/19277 loss=5.7450 ppl=312.6 div=1.78e-02 wdiv=8.88e-04 lr=9.99e-05 | inst 26480 tok/s avg 12368 tok/s |  21.5% eta 58:29 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:48:39]   [1] batch 4199/19277 loss=5.5626 ppl=260.5 div=1.78e-02 wdiv=8.88e-04 lr=9.99e-05 | inst 26481 tok/s avg 12447 tok/s |  21.8% eta 58:18 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:48:51]   [1] batch 4249/19277 loss=5.6395 ppl=281.3 div=1.70e-02 wdiv=8.50e-04 lr=9.99e-05 | inst 25812 tok/s avg 12523 tok/s |  22.0% eta 59:36 | mem 2.1/21.0G peak 21.0G
