device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 505  loss=3.8102  lr=4.97e-05
step 506  loss=3.6241  lr=4.97e-05
step 507  loss=3.6666  lr=4.97e-05
step 508  loss=3.7397  lr=4.97e-05
step 509  loss=3.6809  lr=4.97e-05
step 510  loss=3.7935  lr=4.97e-05
step 511  loss=3.6025  lr=4.97e-05
step 512  loss=3.6255  lr=4.97e-05
step 513  loss=3.6724  lr=4.97e-05
step 514  loss=3.8045  lr=4.97e-05
step 515  loss=3.5669  lr=4.97e-05
step 516  loss=3.5835  lr=4.97e-05
step 517  loss=3.7553  lr=4.97e-05
step 518  loss=3.5847  lr=4.97e-05
step 519  loss=3.7968  lr=4.97e-05
step 520  loss=3.5094  lr=4.97e-05
step 521  loss=3.8888  lr=4.97e-05
step 522  loss=3.8165  lr=4.96e-05
step 523  loss=3.6314  lr=4.96e-05
step 524  loss=3.6908  lr=4.96e-05
step 525  loss=3.5490  lr=4.96e-05
step 526  loss=3.6617  lr=4.96e-05
step 527  loss=3.6347  lr=4.96e-05
step 528  loss=3.7129  lr=4.96e-05
step 529  loss=3.5523  lr=4.96e-05
step 530  loss=3.5284  lr=4.96e-05
step 531  loss=3.7168  lr=4.96e-05
step 532  loss=3.4557  lr=4.96e-05
step 533  loss=3.4538  lr=4.96e-05
step 534  loss=3.3362  lr=4.96e-05
step 535  loss=3.4480  lr=4.96e-05
step 536  loss=3.6659  lr=4.96e-05
step 537  loss=3.5889  lr=4.96e-05
step 538  loss=3.5925  lr=4.96e-05
step 539  loss=3.8425  lr=4.96e-05
step 540  loss=3.6348  lr=4.96e-05
step 541  loss=3.6319  lr=4.96e-05
step 542  loss=3.7668  lr=4.96e-05
step 543  loss=3.4361  lr=4.96e-05
step 544  loss=3.4808  lr=4.96e-05
step 545  loss=3.4484  lr=4.96e-05
step 546  loss=3.6755  lr=4.96e-05
step 547  loss=3.5889  lr=4.96e-05
step 548  loss=3.5381  lr=4.96e-05
step 549  loss=3.3484  lr=4.96e-05
step 550  loss=3.4574  lr=4.96e-05
step 551  loss=3.5551  lr=4.96e-05
step 552  loss=3.5346  lr=4.96e-05
step 553  loss=3.5245  lr=4.96e-05
step 554  loss=3.4037  lr=4.96e-05
step 555  loss=3.3881  lr=4.96e-05
step 556  loss=3.7004  lr=4.96e-05
step 557  loss=3.5613  lr=4.96e-05
step 558  loss=3.6433  lr=4.96e-05
step 559  loss=3.5267  lr=4.96e-05
step 560  loss=3.5758  lr=4.96e-05
step 561  loss=3.5423  lr=4.96e-05
step 562  loss=3.3845  lr=4.96e-05
step 563  loss=3.8099  lr=4.96e-05
step 564  loss=3.5306  lr=4.96e-05
step 565  loss=3.4447  lr=4.96e-05
step 566  loss=3.6405  lr=4.96e-05
step 567  loss=3.4475  lr=4.96e-05
step 568  loss=3.4971  lr=4.96e-05
step 569  loss=3.4295  lr=4.96e-05
step 570  loss=3.7089  lr=4.96e-05
step 571  loss=3.6356  lr=4.96e-05
step 572  loss=3.7183  lr=4.96e-05
step 573  loss=3.6757  lr=4.96e-05
step 574  loss=3.4492  lr=4.96e-05
step 575  loss=3.3677  lr=4.96e-05
step 576  loss=3.3881  lr=4.96e-05
step 577  loss=3.7585  lr=4.96e-05
step 578  loss=3.6523  lr=4.95e-05
step 579  loss=3.2052  lr=4.95e-05
step 580  loss=3.4062  lr=4.95e-05
step 581  loss=3.5139  lr=4.95e-05
step 582  loss=3.3676  lr=4.95e-05
step 583  loss=3.7314  lr=4.95e-05
step 584  loss=3.5542  lr=4.95e-05
step 585  loss=3.4820  lr=4.95e-05
step 586  loss=3.6204  lr=4.95e-05
